ID,average_screen_time,predicted_well_being
1000002,0.5,49.480555248204325
1000003,1.3125,48.64627532653841
1000004,2.0,47.94034616205187
1000005,3.125,46.78518934743753
1000006,0.875,49.09550297666621
1000007,2.3125,47.61946926910344
1000008,2.3125,47.61946926910344
1000009,1.9375,48.004521540641555
1000010,1.75,48.19704767641061
1000011,1.9375,48.004521540641555
1000012,5.5625,44.28234958243979
1000013,2.5625,47.362767754744695
1000015,1.25,48.710450705128096
1000016,1.875,48.06869691923124
1000017,3.125,46.78518934743753
1000018,4.5,45.37333101846444
1000019,2.0625,47.876170783462186
1000021,4.5,45.37333101846444
1000022,2.0,47.94034616205187
1000023,2.125,47.8119954048725
1000025,1.875,48.06869691923124
1000026,2.625,47.298592376155014
1000027,2.5,47.42694313333438
1000028,3.75,46.14343556154067
1000029,0.75,49.22385373384558
1000030,2.25,47.68364464769313
1000031,1.8125,48.132872297820924
1000032,2.125,47.8119954048725
1000033,2.25,47.68364464769313
1000034,2.75,47.170241618975645
1000035,1.875,48.06869691923124
1000036,2.25,47.68364464769313
1000037,0.875,49.09550297666621
1000038,1.875,48.06869691923124
1000039,3.375,46.528487833078785
1000040,2.0,47.94034616205187
1000041,2.125,47.8119954048725
1000042,1.5,48.45374919076936
1000043,2.6875,47.234416997565326
1000044,3.0,46.9135401046169
1000045,2.375,47.55529389051375
1000046,0.75,49.22385373384558
1000048,1.4375,48.51792456935904
1000049,1.4375,48.51792456935904
1000050,0.375,49.608906005383695
1000051,1.8125,48.132872297820924
1000052,2.0,47.94034616205187
1000053,0.75,49.22385373384558
1000054,1.5625,48.38957381217967
1000055,3.5,46.400137075899416
1000056,3.0,46.9135401046169
1000057,2.875,47.04189086179627
1000058,1.0625,48.90297684089715
1000059,0.875,49.09550297666621
1000060,2.0625,47.876170783462186
1000061,1.4375,48.51792456935904
1000062,4.25,45.630032532823186
1000063,1.5,48.45374919076936
1000064,2.25,47.68364464769313
1000065,1.6875,48.2612230550003
1000066,1.75,48.19704767641061
1000067,2.375,47.55529389051375
1000068,1.25,48.710450705128096
1000069,2.25,47.68364464769313
1000070,2.25,47.68364464769313
1000071,2.5,47.42694313333438
1000072,4.25,45.630032532823186
1000073,4.0625,45.822558668592244
1000074,1.6875,48.2612230550003
1000075,0.375,49.608906005383695
1000076,4.5,45.37333101846444
1000077,2.1875,47.74782002628281
1000078,2.625,47.298592376155014
1000079,2.5,47.42694313333438
1000080,3.125,46.78518934743753
1000081,1.6875,48.2612230550003
